[15:36:59:243823 +02:00] [Thread 18272]  Performed Query 1 - 710438 - SELECT id FROM players WHERE playerid = '76561198216442289'
[15:36:59:485596 +02:00] [Thread 19384]  SINGLE RETURN ARRIVED - [1]
[15:36:59:485688 +02:00] [Thread 19384]  Successfully finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1]
[15:36:59:485965 +02:00] [Thread 18272]  Performed Query 1 - 710438 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[15:36:59:705424 +02:00] [Thread 19384]  SINGLE RETURN ARRIVED - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[15:36:59:705514 +02:00] [Thread 18272]  Successfully finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[15:48:29:070002 +02:00] [Thread 15552]  Performed Query 1 - 827572 - SELECT id FROM players WHERE playerid = '76561198216442289'
[15:48:29:332052 +02:00] [Thread 6384]  SINGLE RETURN ARRIVED - [1]
[15:48:29:332101 +02:00] [Thread 15552]  Successfully finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1]
[15:48:29:332182 +02:00] [Thread 6384]  Performed Query 1 - 827572 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[15:48:29:538577 +02:00] [Thread 15552]  SINGLE RETURN ARRIVED - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[15:48:29:538632 +02:00] [Thread 6384]  Successfully finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[15:50:46:776158 +02:00] [Thread 18812]  Performed Query 1 - 960157 - SELECT id FROM players WHERE playerid = '76561198216442289'
[15:50:46:973473 +02:00] [Thread 18812]  SINGLE RETURN ARRIVED - [1]
[15:50:46:973492 +02:00] [Thread 17156]  Successfully finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1]
[15:50:46:973586 +02:00] [Thread 18812]  Performed Query 1 - 960157 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[15:50:47:206661 +02:00] [Thread 17156]  SINGLE RETURN ARRIVED - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[15:50:47:206716 +02:00] [Thread 17156]  Successfully finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[16:11:56:843366 +02:00] [Thread 18812]  Performed Query 1 - 960157 - SELECT id FROM players WHERE playerid = '76561198216442289'
[16:11:57:049091 +02:00] [Thread 17156]  SINGLE RETURN ARRIVED - [1]
[16:11:57:049118 +02:00] [Thread 18812]  Successfully finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1]
[16:11:57:049259 +02:00] [Thread 17156]  Performed Query 1 - 960157 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[16:11:57:259095 +02:00] [Thread 18812]  SINGLE RETURN ARRIVED - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[16:11:57:259171 +02:00] [Thread 17156]  Successfully finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[21:26:30:117665 +02:00] [Thread 20092]  Performed Query 1 - 34744 - SELECT id FROM players WHERE playerid = '76561198216442289'
[21:26:30:333832 +02:00] [Thread 21696]  Successfully finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1]
[21:26:30:333922 +02:00] [Thread 20092]  SINGLE RETURN ARRIVED - [1]
