[21:48:19:400102 +02:00] [Thread 15760]  Performed Query 1 - 268012 - SHOW PROCESSLIST
[21:48:19:400294 +02:00] [Thread 16692]  Finished Query - SHOW PROCESSLIST - with return - [1010]
[21:49:55:593132 +02:00] [Thread 9576]  Performed Query 1 - 559436 - SHOW PROCESSLIST
[21:49:55:622306 +02:00] [Thread 14392]  SINGLE RETURN ARRIVED - [2,"admire","localhost:34463","koth","Query",0,"init","SHOW PROCESSLIST",0]
[21:49:55:622368 +02:00] [Thread 9576]  Finished Query - SHOW PROCESSLIST - with return - [2,"admire","localhost:34463","koth","Query",0,"init","SHOW PROCESSLIST",0]
[21:50:51:395464 +02:00] [Thread 14392]  Performed Query 1 - 559436 - SELECT id FROM players WHERE playerid = '76561198216442289'
[21:50:53:514813 +02:00] [Thread 8056]  Performed Query 1 - 559436 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[21:50:54:936401 +02:00] [Thread 9576]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,0,7,10,0,0,0]
[21:50:54:936482 +02:00] [Thread 9576]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,0,7,10,0,0,0]
[21:52:14:704739 +02:00] [Thread 14996]  Performed Query 1 - 559436 - SELECT id FROM players WHERE playerid = '76561198216442289'
[21:52:14:944607 +02:00] [Thread 9576]  SINGLE RETURN ARRIVED - [3]
[21:52:14:955174 +02:00] [Thread 14996]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[21:52:14:955212 +02:00] [Thread 8056]  Performed Query 1 - 559436 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[21:52:15:157677 +02:00] [Thread 9576]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,0,7,10,0,0,0]
[21:52:15:157705 +02:00] [Thread 8056]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,0,7,10,0,0,0]
[22:18:14:637023 +02:00] [Thread 16688]  Performed Query 1 - 669023 - SHOW PROCESSLIST
[22:18:14:717259 +02:00] [Thread 16688]  SINGLE RETURN ARRIVED - [4,"admire","localhost:37830","koth","Query",0,"init","SHOW PROCESSLIST",0]
[22:18:14:717284 +02:00] [Thread 17092]  Finished Query - SHOW PROCESSLIST - with return - [4,"admire","localhost:37830","koth","Query",0,"init","SHOW PROCESSLIST",0]
[22:21:53:836516 +02:00] [Thread 7228]  Performed Query 1 - 548806 - SHOW PROCESSLIST
[22:21:53:910445 +02:00] [Thread 17440]  SINGLE RETURN ARRIVED - [5,"admire","localhost:38267","koth","Query",0,"init","SHOW PROCESSLIST",0]
[22:21:53:911198 +02:00] [Thread 7228]  Finished Query - SHOW PROCESSLIST - with return - [5,"admire","localhost:38267","koth","Query",0,"init","SHOW PROCESSLIST",0]
[22:22:13:671061 +02:00] [Thread 17440]  Performed Query 1 - 548806 - SELECT id FROM players WHERE playerid = '76561198216442289'
[22:22:13:894162 +02:00] [Thread 7228]  SINGLE RETURN ARRIVED - [3]
[22:22:13:894334 +02:00] [Thread 17440]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[22:22:13:894541 +02:00] [Thread 14504]  Performed Query 1 - 548806 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[22:22:14:115495 +02:00] [Thread 17752]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,0,7,10,0,0,0]
[22:22:14:115568 +02:00] [Thread 17752]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,0,7,10,0,0,0]
[22:29:27:634539 +02:00] [Thread 7228]  Performed Query 1 - 548806 - SELECT id FROM players WHERE playerid = '76561198216442289'
[22:29:27:854699 +02:00] [Thread 17440]  SINGLE RETURN ARRIVED - [3]
[22:29:27:854805 +02:00] [Thread 17440]  Performed Query 1 - 548806 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[22:29:27:854905 +02:00] [Thread 7228]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[22:29:28:056601 +02:00] [Thread 17752]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,0,7,10,0,0,0]
[22:29:28:058479 +02:00] [Thread 7228]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,0,7,10,0,0,0]
[22:31:30:511527 +02:00] [Thread 18388]  Performed Query 1 - 264046 - SHOW PROCESSLIST
[22:31:30:616690 +02:00] [Thread 1072]  SINGLE RETURN ARRIVED - [6,"admire","localhost:39249","koth","Query",0,"init","SHOW PROCESSLIST",0]
[22:31:30:616741 +02:00] [Thread 1072]  Finished Query - SHOW PROCESSLIST - with return - [6,"admire","localhost:39249","koth","Query",0,"init","SHOW PROCESSLIST",0]
[22:31:47:015560 +02:00] [Thread 1072]  Performed Query 1 - 264046 - SELECT id FROM players WHERE playerid = '76561198216442289'
[22:31:47:015672 +02:00] [Thread 1072]  SINGLE RETURN ARRIVED - [3]
[22:31:47:015704 +02:00] [Thread 1072]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
