16.08.2019 12:58:39: 0h 6min | Prof Bildungsstop(76561198216442289) | Teleport to [6153.87,10754.4,0](GPS: 061107)
16.08.2019 12:59:22: 0h 6min | Prof Bildungsstop(76561198216442289) | Zeus Prof Bildungsstop(76561198216442289) @061107
16.08.2019 12:59:22: 0h 6min | Prof Bildungsstop(76561198216442289) | Zeus - B Alpha 1-2:1 (Prof Bildungsstop)(76561198216442289)
16.08.2019 18:32:15: 0h 7min | Prof Bildungsstop(76561198216442289) | Exploding Prof Bildungsstop(76561198216442289) @065077
16.08.2019 18:32:15: 0h 7min | Prof Bildungsstop(76561198216442289) | Explode - B Alpha 3-3:1 (Prof Bildungsstop)(76561198216442289)
16.08.2019 18:32:25: 0h 7min | Prof Bildungsstop(76561198216442289) | Killing Prof Bildungsstop(76561198216442289) @065077
16.08.2019 18:32:25: 0h 7min | Prof Bildungsstop(76561198216442289) | Kill - B Alpha 3-3:1 (Prof Bildungsstop)(76561198216442289)
16.08.2019 18:32:26: 0h 7min | Prof Bildungsstop(76561198216442289) | Kill - 23aa0fa6e40# 620588: b_soldier_02.p3d()
16.08.2019 18:32:26: 0h 7min | Prof Bildungsstop(76561198216442289) | Kill - 23aa0fa6e40# 620588: b_soldier_02.p3d()
16.08.2019 18:32:27: 0h 7min | Prof Bildungsstop(76561198216442289) | Kill - 23aa0fa6e40# 620588: b_soldier_02.p3d()
16.08.2019 18:32:34: 0h 7min | Prof Bildungsstop(76561198216442289) | MineField (around target) Prof Bildungsstop(76561198216442289) @065077
16.08.2019 18:32:34: 0h 7min | Prof Bildungsstop(76561198216442289) | MineField (around target) - B Alpha 3-3:1 (Prof Bildungsstop)(76561198216442289)
16.08.2019 18:33:04: 0h 8min | Prof Bildungsstop(76561198216442289) | Eject - Prof Bildungsstop [WEST](76561198216442289)
16.08.2019 18:33:09: 0h 8min | Prof Bildungsstop(76561198216442289) | Stealth / Invisible - 1
16.08.2019 18:33:17: 0h 8min | Prof Bildungsstop(76561198216442289) | Stealth / Invisible - 0
16.08.2019 18:33:18: 0h 8min | Prof Bildungsstop(76561198216442289) | FastFire - 1
16.08.2019 18:33:19: 0h 8min | Prof Bildungsstop(76561198216442289) | UnlimAmmo - 1
16.08.2019 18:33:19: 0h 8min | Prof Bildungsstop(76561198216442289) | noRecoil - 1
16.08.2019 18:33:43: 0h 8min | Prof Bildungsstop(76561198216442289) | noRecoil - 0
16.08.2019 18:33:44: 0h 8min | Prof Bildungsstop(76561198216442289) | UnlimAmmo - 0
16.08.2019 18:33:44: 0h 8min | Prof Bildungsstop(76561198216442289) | FastFire - 0
16.08.2019 18:33:45: 0h 8min | Prof Bildungsstop(76561198216442289) | Lower Terrain - 1
16.08.2019 18:33:47: 0h 8min | Prof Bildungsstop(76561198216442289) | Lower Terrain - 0
16.08.2019 18:33:49: 0h 8min | Prof Bildungsstop(76561198216442289) | Teleport In Facing Direction (10m steps) - 1
