26.11.2019 15:23:08: 0h 4min | Rudi Bildungsstop(76561198216442289) | spawning AH-9 Pawnee (B_Heli_Light_01_armed_F)
26.11.2019 15:26:27: 0h 7min | Rudi Bildungsstop(76561198216442289) | Remove Gear - Variable_Name_4(76561198216442289)
26.11.2019 15:26:53: 0h 8min | Rudi Bildungsstop(76561198216442289) | UnlimAmmo - 1
26.11.2019 15:26:54: 0h 8min | Rudi Bildungsstop(76561198216442289) | FastFire - 1
26.11.2019 15:26:55: 0h 8min | Rudi Bildungsstop(76561198216442289) | noRecoil - 1
26.11.2019 15:26:55: 0h 8min | Rudi Bildungsstop(76561198216442289) | Lower Terrain - 1
26.11.2019 15:26:57: 0h 8min | Rudi Bildungsstop(76561198216442289) | Disable Announces - 1
26.11.2019 15:26:59: 0h 8min | Rudi Bildungsstop(76561198216442289) | Teleport In Facing Direction (10m steps) - 1
26.11.2019 15:27:00: 0h 8min | Rudi Bildungsstop(76561198216442289) | Vehboost - 1
26.11.2019 15:27:00: 0h 8min | Rudi Bildungsstop(76561198216442289) | Vehicle God Mode - 1
26.11.2019 15:27:01: 0h 8min | Rudi Bildungsstop(76561198216442289) | God Mode - 1
26.11.2019 15:27:01: 0h 8min | Rudi Bildungsstop(76561198216442289) | Stealth / Invisible - 1
26.11.2019 15:27:02: 0h 8min | Rudi Bildungsstop(76561198216442289) | Stealth / Invisible - 0
26.11.2019 15:27:04: 0h 8min | Rudi Bildungsstop(76561198216442289) | Stealth / Invisible - 1
26.11.2019 15:27:45: 0h 9min | Rudi Bildungsstop(76561198216442289) | Kick (Silent) - Variable_Name_4(76561198216442289)
