27.11.2019 20:18:16: 1h 41min | Rudi Bildungsstop(76561198216442289) | spawning Mi-48 Kajman (Black) (O_Heli_Attack_02_dynamicLoadout_black_F)
27.11.2019 20:19:19: 1h 42min | Rudi Bildungsstop(76561198216442289) | Delete Vehicle - B Alpha 1-2:1 (Rudi Bildungsstop)(76561198216442289)
27.11.2019 20:19:22: 1h 42min | Rudi Bildungsstop(76561198216442289) | Eject Crew - Rudi Bildungsstop [WEST](76561198216442289)
27.11.2019 20:19:23: 1h 42min | Rudi Bildungsstop(76561198216442289) | Deleting Rudi Bildungsstop(76561198216442289) vehicle: B_soldier_AR_F @065077..
27.11.2019 20:19:23: 1h 42min | Rudi Bildungsstop(76561198216442289) | Delete Vehicle - B Alpha 1-2:1 (Rudi Bildungsstop)(76561198216442289)
27.11.2019 20:19:24: 1h 42min | Rudi Bildungsstop(76561198216442289) | Delete Vehicle - B Alpha 1-2:1 (Rudi Bildungsstop)(76561198216442289)
27.11.2019 20:19:24: 1h 42min | Rudi Bildungsstop(76561198216442289) | Delete Vehicle - B Alpha 1-2:1 (Rudi Bildungsstop)(76561198216442289)
27.11.2019 20:19:33: 1h 42min | Rudi Bildungsstop(76561198216442289) | Move In Target Vehicle - Rudi Bildungsstop [WEST](76561198216442289)
27.11.2019 20:19:34: 1h 42min | Rudi Bildungsstop(76561198216442289) | Parachute Target - Rudi Bildungsstop [WEST](76561198216442289)
27.11.2019 20:19:58: 1h 43min | Rudi Bildungsstop(76561198216442289) | Eject - Rudi Bildungsstop [WEST](76561198216442289)
27.11.2019 20:20:08: 1h 43min | Rudi Bildungsstop(76561198216442289) | MineField (around target) Rudi Bildungsstop(76561198216442289) @065078
27.11.2019 20:20:08: 1h 43min | Rudi Bildungsstop(76561198216442289) | MineField (around target) - B Alpha 1-2:1 (Rudi Bildungsstop)(76561198216442289)
27.11.2019 20:20:19: 1h 43min | Rudi Bildungsstop(76561198216442289) | Dump unique client variables - Rudi Bildungsstop [WEST](76561198216442289)
27.11.2019 20:20:24: 1h 43min | Rudi Bildungsstop(76561198216442289) | Request Steam Name - Rudi Bildungsstop [WEST](76561198216442289)
27.11.2019 20:20:30: 1h 43min | Rudi Bildungsstop(76561198216442289) | Freeze Target - B Alpha 1-2:1 (Rudi Bildungsstop)(76561198216442289)
