14.08.2019 16:12:04: 0h 2min | Prof Bildungsstop(76561198216442289) | spawning M-900 (BlueLine) (C_Heli_light_01_blueLine_F)
14.08.2019 16:13:20: 0h 4min | Prof Bildungsstop(76561198216442289) | Killing Prof Bildungsstop(76561198216442289) @088257
14.08.2019 16:13:20: 0h 4min | Prof Bildungsstop(76561198216442289) | Kill - west_1(76561198216442289)
14.08.2019 16:13:22: 0h 4min | Prof Bildungsstop(76561198216442289) | Kill - west_1()
14.08.2019 16:13:22: 0h 4min | Prof Bildungsstop(76561198216442289) | Kill - west_1()
14.08.2019 16:13:48: 0h 4min | Prof Bildungsstop(76561198216442289) | Self Disconnect
14.08.2019 16:14:16: 0h 5min | Prof Bildungsstop(76561198216442289) | AdminConsole
14.08.2019 16:14:36: 0h 5min | Prof Bildungsstop(76561198216442289) | SPECTATE - switchedCamera on Prof Bildungsstop(76561198216442289) - O_Soldier_F
14.08.2019 16:14:50: 0h 5min | Prof Bildungsstop(76561198216442289) | Ban (Silent) - csat_4(76561198216442289)
14.08.2019 16:15:21: 0h 6min | Prof Bildungsstop(76561198216442289) | Spawn Support-Box1
14.08.2019 16:15:38: 0h 6min | Prof Bildungsstop(76561198216442289) | Teleport to [7862.7,22163.2,0](GPS: 078221)
14.08.2019 16:15:50: 0h 6min | Prof Bildungsstop(76561198216442289) | Teleport to [3626.39,13025.4,0](GPS: 036130)
14.08.2019 16:16:08: 0h 7min | Prof Bildungsstop(76561198216442289) | spawning  (Church)
14.08.2019 16:19:34: 0h 10min | Prof Bildungsstop(76561198216442289) | Teleport to [3609.81,12951.9,0](GPS: 036129)
14.08.2019 18:13:36: 0h 17min | Prof Bildungsstop(76561198216442289) | FastFire - 1
14.08.2019 18:13:37: 0h 17min | Prof Bildungsstop(76561198216442289) | UnlimAmmo - 1
14.08.2019 18:13:38: 0h 17min | Prof Bildungsstop(76561198216442289) | noRecoil - 1
14.08.2019 18:14:45: 0h 18min | Prof Bildungsstop(76561198216442289) | Kick (Silent) - west_4(76561198216442289)
