[12:45:49:663302 +02:00] [Thread 18388]  Performed Query 1 - 896885 - SHOW PROCESSLIST
[12:45:49:663400 +02:00] [Thread 18380]  Finished Query - SHOW PROCESSLIST - with return - [1010]
[12:49:29:328592 +02:00] [Thread 18688]  Performed Query 1 - 163550 - SHOW PROCESSLIST
[12:49:54:728247 +02:00] [Thread 18688]  Performed Query 1 - 163550 - SELECT id FROM players WHERE playerid = '76561198216442289'
[12:49:55:855501 +02:00] [Thread 15244]  SINGLE RETURN ARRIVED - [3]
[12:49:55:855536 +02:00] [Thread 18688]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[12:49:55:855645 +02:00] [Thread 18688]  Performed Query 1 - 163550 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[12:49:56:075501 +02:00] [Thread 18688]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,0,0,10,0,0,0]
[12:49:56:075521 +02:00] [Thread 15244]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,0,0,10,0,0,0]
[12:53:09:867204 +02:00] [Thread 18500]  Performed Query 1 - 425552 - SHOW PROCESSLIST
[12:53:09:896140 +02:00] [Thread 18500]  SINGLE RETURN ARRIVED - [3,"admire","localhost:16625","koth","Query",0,"init","SHOW PROCESSLIST",0]
[12:53:09:896170 +02:00] [Thread 3716]  Finished Query - SHOW PROCESSLIST - with return - [3,"admire","localhost:16625","koth","Query",0,"init","SHOW PROCESSLIST",0]
[12:54:40:224253 +02:00] [Thread 18500]  Performed Query 1 - 425552 - SELECT id FROM players WHERE playerid = '76561198216442289'
[12:54:40:442648 +02:00] [Thread 3716]  SINGLE RETURN ARRIVED - [3]
[12:54:40:442662 +02:00] [Thread 18500]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[12:54:40:442761 +02:00] [Thread 3716]  Performed Query 1 - 425552 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[12:54:40:663647 +02:00] [Thread 18500]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,0,0,10,0,0,0]
[12:54:40:663728 +02:00] [Thread 3716]  Finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["I14ZYD92R","Prof Bildungsstop",0,0,0,0,10,0,0,0]
[16:07:38:065627 +02:00] [Thread 21608]  Performed Query 1 - 240136 - SHOW PROCESSLIST
[16:07:38:254038 +02:00] [Thread 21608]  SINGLE RETURN ARRIVED - [4,"root","localhost:31131","koth","Sleep",73,"","",0]
[16:07:38:254171 +02:00] [Thread 21608]  Finished Query - SHOW PROCESSLIST - with return - [4,"root","localhost:31131","koth","Sleep",73,"","",0]
[16:08:43:960171 +02:00] [Thread 21612]  Performed Query 1 - 240136 - SELECT id FROM players WHERE playerid = '76561198216442289'
[16:08:44:179822 +02:00] [Thread 21608]  SINGLE RETURN ARRIVED - [3]
[16:08:44:179843 +02:00] [Thread 21612]  Finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [3]
[16:08:44:180051 +02:00] [Thread 21608]  Performed Query 1 - 240136 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[16:08:44:401364 +02:00] [Thread 21612]  SINGLE RETURN ARRIVED - ["I14ZYD92R","Prof Bildungsstop",0,0,120120,0,10,0,0,0]
