[13:08:01:852744 +02:00] [Thread 19208]  Performed Query 1 - 667239 - SELECT id FROM players WHERE playerid = '76561198216442289'
[13:08:02:502160 +02:00] [Thread 19224]  SINGLE RETURN ARRIVED - [1]
[13:08:02:502330 +02:00] [Thread 19224]  Successfully finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1]
[13:08:02:502779 +02:00] [Thread 19208]  Performed Query 1 - 667239 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[13:08:02:721610 +02:00] [Thread 19224]  SINGLE RETURN ARRIVED - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[13:08:02:721696 +02:00] [Thread 19208]  Successfully finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[13:19:44:415128 +02:00] [Thread 19424]  Performed Query 1 - 514592 - SELECT id FROM players WHERE playerid = '76561198216442289'
[13:19:44:634843 +02:00] [Thread 6200]  SINGLE RETURN ARRIVED - [1]
[13:19:44:634866 +02:00] [Thread 19424]  Successfully finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1]
[13:19:44:635008 +02:00] [Thread 6200]  Performed Query 1 - 514592 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[13:19:44:856281 +02:00] [Thread 19424]  SINGLE RETURN ARRIVED - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[13:19:44:856329 +02:00] [Thread 6200]  Successfully finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[13:23:10:190904 +02:00] [Thread 19424]  Performed Query 1 - 514592 - SELECT id FROM players WHERE playerid = '76561198216442289'
[13:23:10:390379 +02:00] [Thread 6200]  SINGLE RETURN ARRIVED - [1]
[13:23:10:390395 +02:00] [Thread 19424]  Successfully finished Query - SELECT id FROM players WHERE playerid = '76561198216442289' - with return - [1]
[13:23:10:390498 +02:00] [Thread 6200]  Performed Query 1 - 514592 - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289'
[13:23:10:610925 +02:00] [Thread 19424]  SINGLE RETURN ARRIVED - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
[13:23:10:610997 +02:00] [Thread 6200]  Successfully finished Query - SELECT playerintid, name, rank, banned, xp, level, money, kills, teamkills, deaths FROM players WHERE playerid = '76561198216442289' - with return - ["ADMIN","Max Mustermann",100,0,100000,123,123,123,0,123]
